id_contrato,entidad,valor_contrato,objeto,estado,fecha_inicio,fecha_fin
CON-000001,Ministerio de Defensa,448457097,Suministro,Terminado,2026-01-22,2027-01-25
CON-000002,Alcaldía de Bogotá,21839593,Servicios,Vigente,2025-05-28,2027-02-04
CON-000003,Ministerio de Defensa,180607298,Obra,Terminado,2026-03-07,2027-03-28
CON-000004,SENA,38043045,Servicios,Terminado,2026-03-06,2026-07-24
CON-000005,Ministerio de Defensa,35331846,Consultoría,En Liquidación,2026-01-16,2026-12-23
CON-000006,SENA,90829409,Suministro,En Liquidación,2025-05-28,2027-01-11
CON-000007,SENA,147824863,Consultoría,En Liquidación,2025-05-31,2027-01-13
CON-000008,Gobernación de Cundinamarca,116676964,Suministro,Terminado,2025-12-11,2026-07-07
CON-000009,Alcaldía de Bogotá,496855966,Obra,Vigente,2025-09-11,2027-05-06
CON-000010,Gobernación de Cundinamarca,198792426,Consultoría,Terminado,2026-01-16,2026-06-19
CON-000011,SENA,409777658,Suministro,En Liquidación,2025-12-18,2027-04-11
CON-000012,Alcaldía de Bogotá,309878020,Consultoría,Vigente,2026-01-01,2027-04-11
CON-000013,Alcaldía de Bogotá,393006842,Suministro,Vigente,2025-05-14,2026-10-08
CON-000014,Alcaldía de Bogotá,220206956,Consultoría,Vigente,2025-08-17,2026-10-20
CON-000015,Gobernación de Cundinamarca,237030877,Obra,En Liquidación,2025-07-08,2026-10-11
CON-000016,Alcaldía de Bogotá,195183734,Consultoría,En Liquidación,2026-03-19,2026-10-18
CON-000017,Gobernación de Cundinamarca,261004439,Consultoría,Terminado,2025-06-18,2026-06-21
CON-000018,Ministerio de Defensa,250677260,Consultoría,En Liquidación,2026-04-03,2026-10-17
CON-000019,SENA,462901043,Consultoría,En Liquidación,2025-06-03,2026-08-30
CON-000020,Gobernación de Cundinamarca,187399512,Suministro,Terminado,2026-04-08,2026-06-18
CON-000021,SENA,64318052,Obra,Vigente,2025-06-05,2027-05-07
CON-000022,Gobernación de Cundinamarca,461882237,Suministro,En Liquidación,2025-10-01,2026-12-25
CON-000023,Gobernación de Cundinamarca,489118005,Servicios,En Liquidación,2025-12-23,2026-11-22
CON-000024,Ministerio de Defensa,249741441,Consultoría,Vigente,2025-11-11,2027-04-19
CON-000025,Alcaldía de Bogotá,288666962,Consultoría,En Liquidación,2025-12-11,2026-07-10
CON-000026,SENA,166886135,Servicios,Vigente,2025-11-23,2027-02-17
CON-000027,Gobernación de Cundinamarca,190315427,Obra,Terminado,2025-06-06,2026-11-08
CON-000028,Alcaldía de Bogotá,144998823,Consultoría,Terminado,2025-06-08,2026-11-17
CON-000029,Alcaldía de Bogotá,96881718,Consultoría,En Liquidación,2025-12-27,2026-09-17
CON-000030,Alcaldía de Bogotá,343537930,Servicios,Vigente,2025-08-17,2026-09-17
CON-000031,Alcaldía de Bogotá,405850341,Obra,Terminado,2025-09-04,2027-03-21
CON-000032,Alcaldía de Bogotá,124909570,Consultoría,En Liquidación,2025-08-31,2027-01-16
CON-000033,Alcaldía de Bogotá,176978237,Consultoría,Terminado,2025-12-10,2026-12-04
CON-000034,Ministerio de Defensa,349817935,Servicios,Terminado,2026-03-02,2026-07-11
CON-000035,SENA,84567197,Consultoría,Vigente,2026-02-20,2026-08-31
CON-000036,SENA,332944377,Consultoría,En Liquidación,2026-01-23,2026-12-23
CON-000037,Gobernación de Cundinamarca,224830383,Suministro,Terminado,2025-08-21,2027-04-08
CON-000038,Alcaldía de Bogotá,424069302,Suministro,En Liquidación,2025-12-16,2026-10-11
CON-000039,Gobernación de Cundinamarca,88184587,Consultoría,En Liquidación,2025-10-18,2026-12-18
CON-000040,SENA,402838203,Consultoría,En Liquidación,2026-01-11,2027-03-19
CON-000041,Alcaldía de Bogotá,395583908,Servicios,Vigente,2026-02-13,2026-09-19
